what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1327165988312
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1327165988315
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327165988423
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327165990682
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1327165990706
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327165990706
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327165995219
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327165999428
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1327166000578
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1327166000836
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327166002451
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1327166005382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327166008727
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1327166013030
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1327166013391
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1327166013723
activated,view,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui.views.tasks",1327166018777
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1327166022148
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327166023561
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327166084692
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327166087892
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327166124284
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327166126063
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1327166126440
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.format",1327166130683
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327166144831
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327166337618
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327166342271
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327166353382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327166367916
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327166420162
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327166424528
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1327166457728
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327166623869
opened,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavadocView",1327166639576
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavadocView",1327166639628
opened,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1327166639950
