what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1327897569257
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1327897569258
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1327897569259
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1327897569261
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1327897569263
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1327897569264
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1327897569265
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1327897569266
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1327897569267
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1327897569268
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1327897569269
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1327897569274
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1327897569294
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1327897569294
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1327897569295
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1327897569298
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1327897569299
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1327897569300
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1327897569304
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1327897569305
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1327897569306
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1327897569308
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1327897569309
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1327897569310
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1327897569313
os,sysinfo,,,"win32",1327897569318
arch,sysinfo,,,"x86",1327897569318
ws,sysinfo,,,"win32",1327897569318
locale,sysinfo,,,"en_US",1327897569318
processors,sysinfo,,,"1",1327897569319
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1327897569319
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1327897569319
java.specification.name,sysinfo,,,"Java Platform API Specification",1327897569319
java.specification.vendor,sysinfo,,,"Oracle Corporation",1327897569319
java.specification.version,sysinfo,,,"1.7",1327897569319
java.vendor,sysinfo,,,"Oracle Corporation",1327897569319
java.version,sysinfo,,,"1.7.0_02",1327897569319
java.vm.info,sysinfo,,,"mixed mode, sharing",1327897569319
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1327897569319
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1327897569319
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1327897569319
java.vm.specification.version,sysinfo,,,"1.7",1327897569319
java.vm.vendor,sysinfo,,,"Oracle Corporation",1327897569319
java.vm.version,sysinfo,,,"22.0-b10",1327897569319
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1327897569345
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1327897569666
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1327897569873
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1327897569927
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1327897570375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327897572678
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1327897577265
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1327897577507
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1327897578576
